Tempo,Gasto,Espazo,Dato
1999,1 Gastos de persoal ,12 Galicia,1160762
1999,2 Gastos en bens correntes e servizos ,12 Galicia,239396
1999,3 Gastos financeiros ,12 Galicia,183745
1999,4 Transferencias correntes ,12 Galicia,1231277
1999,5 Fondo de continxencia,12 Galicia,
1999,6 Investimentos reais ,12 Galicia,409454
1999,7 Transferencias de capital ,12 Galicia,625078
1999,8 Activos financeiros ,12 Galicia,30658
1999,9 Pasivos financeiros ,12 Galicia,137433
2000,1 Gastos de persoal ,12 Galicia,1233631
2000,2 Gastos en bens correntes e servizos ,12 Galicia,252845
2000,3 Gastos financeiros ,12 Galicia,174604
2000,4 Transferencias correntes ,12 Galicia,1279381
2000,5 Fondo de continxencia,12 Galicia,
2000,6 Investimentos reais ,12 Galicia,448089
2000,7 Transferencias de capital ,12 Galicia,665566
2000,8 Activos financeiros ,12 Galicia,5589
2000,9 Pasivos financeiros ,12 Galicia,199447
2001,1 Gastos de persoal ,12 Galicia,1307140
2001,2 Gastos en bens correntes e servizos ,12 Galicia,279616
2001,3 Gastos financeiros ,12 Galicia,182903
2001,4 Transferencias correntes ,12 Galicia,1303453
2001,5 Fondo de continxencia,12 Galicia,
2001,6 Investimentos reais ,12 Galicia,523496
2001,7 Transferencias de capital ,12 Galicia,756026
2001,8 Activos financeiros ,12 Galicia,72569
2001,9 Pasivos financeiros ,12 Galicia,215523
2002,1 Gastos de persoal ,12 Galicia,1385360
2002,2 Gastos en bens correntes e servizos ,12 Galicia,288045
2002,3 Gastos financeiros ,12 Galicia,155281
2002,4 Transferencias correntes ,12 Galicia,3430065
2002,5 Fondo de continxencia,12 Galicia,
2002,6 Investimentos reais ,12 Galicia,584117
2002,7 Transferencias de capital ,12 Galicia,850990
2002,8 Activos financeiros ,12 Galicia,84284
2002,9 Pasivos financeiros ,12 Galicia,210948
2003,1 Gastos de persoal ,12 Galicia,1443757
2003,2 Gastos en bens correntes e servizos ,12 Galicia,303805
2003,3 Gastos financeiros ,12 Galicia,153577
2003,4 Transferencias correntes ,12 Galicia,3566778
2003,5 Fondo de continxencia,12 Galicia,
2003,6 Investimentos reais ,12 Galicia,643503
2003,7 Transferencias de capital ,12 Galicia,893873
2003,8 Activos financeiros ,12 Galicia,91353
2003,9 Pasivos financeiros ,12 Galicia,413648
2004,1 Gastos de persoal ,12 Galicia,1513435
2004,2 Gastos en bens correntes e servizos ,12 Galicia,339761
2004,3 Gastos financeiros ,12 Galicia,138619
2004,4 Transferencias correntes ,12 Galicia,3845051
2004,5 Fondo de continxencia,12 Galicia,
2004,6 Investimentos reais ,12 Galicia,735543
2004,7 Transferencias de capital ,12 Galicia,1012039
2004,8 Activos financeiros ,12 Galicia,102698
2004,9 Pasivos financeiros ,12 Galicia,220185
2005,1 Gastos de persoal ,12 Galicia,1580333
2005,2 Gastos en bens correntes e servizos ,12 Galicia,376844
