Ano,Indicadores,Sexo,Espazo,Idade
1998,"Idade media no 1 de xaneiro","Total","12 Galicia",41.6
1999,"Idade media no 1 de xaneiro","Total","12 Galicia",41.9
2000,"Idade media no 1 de xaneiro","Total","12 Galicia",42.3
2001,"Idade media no 1 de xaneiro","Total","12 Galicia",42.8
2002,"Idade media no 1 de xaneiro","Total","12 Galicia",43.0
2003,"Idade media no 1 de xaneiro","Total","12 Galicia",43.3
2004,"Idade media no 1 de xaneiro","Total","12 Galicia",43.5
2005,"Idade media no 1 de xaneiro","Total","12 Galicia",43.8
2006,"Idade media no 1 de xaneiro","Total","12 Galicia",44.0
2007,"Idade media no 1 de xaneiro","Total","12 Galicia",44.3
2008,"Idade media no 1 de xaneiro","Total","12 Galicia",44.5
2009,"Idade media no 1 de xaneiro","Total","12 Galicia",44.7
2010,"Idade media no 1 de xaneiro","Total","12 Galicia",44.9
2011,"Idade media no 1 de xaneiro","Total","12 Galicia",45.1
