CP;Concello;Total;Homes;Mulleres
15001;Abegondo;5709;2833;2876
15002;Ames;28852;13957;14895
15003;Aranga;2113;1064;1049
15004;Ares;5801;2864;2937
15005;Arteixo;30482;15260;15222
15006;Arzúa;6328;3134;3194
15007;Baña, A;4102;1959;2143
15008;Bergondo;6722;3227;3495
15009;Betanzos;13537;6459;7078
15010;Boimorto;2211;1127;1084
15011;Boiro;19106;9314;9792
15012;Boqueixón;4430;2187;2243
15013;Brión;7462;3627;3835
15014;Cabana de Bergantiños;4865;2389;2476
15015;Cabanas;3346;1656;1690
15016;Camariñas;6168;3063;3105
15017;Cambre;23649;11633;12016
15018;Capela, A;1386;683;703
15019;Carballo;31303;15276;16027
15901;Cariño;4474;2206;2268
15020;Carnota;4834;2313;2521
15021;Carral;6064;2982;3082
15022;Cedeira;7338;3659;3679
15023;Cee;7898;3804;4094
15024;Cerceda;5392;2614;2778
15025;Cerdido;1328;643;685
15026;Cesuras;2225;1090;1135
15027;Coirós;1771;874;897
15028;Corcubión;1767;867;900
15029;Coristanco;7102;3438;3664
15030;Coruña, A;246028;114312;131716
15031;Culleredo;29207;14222;14985
15032;Curtis;4214;2104;2110
15033;Dodro;2980;1443;1537
15034;Dumbría;3652;1745;1907
15035;Fene;13902;6673;7229
15036;Ferrol;72963;34320;38643
15037;Fisterra;4983;2512;2471
15038;Frades;2607;1300;1307
15039;Irixoa;1502;750;752
15041;Laracha, A;11337;5566;5771
15040;Laxe;3366;1678;1688
15042;Lousame;3657;1763;1894
15043;Malpica;6102;2949;3153
15044;Mañón;1589;775;814
15045;Mazaricos;4720;2271;2449
15046;Melide;7824;3852;3972
15047;Mesía;2922;1461;1461
15048;Miño;5760;2849;2911
15049;Moeche;1363;638;725
15050;Monfero;2178;1106;1072
15051;Mugardos;5481;2661;2820
15053;Muros;9565;4630;4935
15052;Muxía;5377;2617;2760
15054;Narón;38910;18929;19981
15055;Neda;5442;2641;2801
15056;Negreira;7077;3408;3669
15057;Noia;14876;7126;7750
15058;Oleiros;34133;16637;17496
15059;Ordes;12948;6326;6622
15060;Oroso;7174;3576;3598
15061;Ortigueira;6956;3336;3620
15062;Outes;7243;3475;3768
15063;Oza dos Ríos;3229;1622;1607
15064;Paderne;2628;1284;1344
15065;Padrón;8924;4256;4668
15066;Pino, O;4743;2357;2386
15067;Pobra do Caramiñal, A;9726;4724;5002
15068;Ponteceso;6134;3071;3063
15069;Pontedeume;8342;4017;4325
15070;Pontes de García Rodríguez, As;11139;5544;5595
15071;Porto do Son;9847;4912;4935
15072;Rianxo;11780;5784;5996
15073;Ribeira;27699;13748;13951
15074;Rois;4910;2336;2574
15075;Sada;14870;7324;7546
15076;San Sadurniño;3099;1534;1565
15077;Santa Comba;10241;4929;5312
15078;Santiago de Compostela;95207;44320;50887
15079;Santiso;1883;983;900
15080;Sobrado;2087;1055;1032
15081;Somozas, As;1306;666;640
15082;Teo;18266;8995;9271
15083;Toques;1343;696;647
15084;Tordoia;4168;1966;2202
15085;Touro;4082;2022;2060
15086;Trazo;3472;1700;1772
15088;Val do Dubra;4313;2090;2223
15087;Valdoviño;6926;3396;3530
15089;Vedra;5046;2439;2607
15091;Vilarmaior;1273;658;615
15090;Vilasantar;1380;715;665
15092;Vimianzo;8039;3925;4114
15093;Zas;5219;2555;2664
